GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared gs coauthors,shared sv coauthors
thesafetyandfeasibilityofmediterraneanketogenicdietaryinterventionsonguthealthinparkinsonsdiseaseaprotocolforanopenlabelrandomizedcrossoverdesign,"The Safety and Feasibility of Mediterranean-Ketogenic Dietary Interventions on Gut Health in Parkinson’s Disease: A Protocol for an Open-label, Randomized, Crossover Design …","['Wolfram Tetzlaff', 'Silke Appel-Cresswell']",,,,localselfrenewalcansustaincnsmicrogliamaintenanceandfunctionthroughoutadultlife,Local self-renewal can sustain CNS microglia maintenance and function throughout adult life,"['Wolfram Tetzlaff', 'Fabio MV Rossi']","['Wolfram G. Tetzlaff', 'Fabio Rossi']"
pannexin1openinginneuronaledemacausescelldeathbutalsoleadstoprotectionviaincreasedmicrogliacontacts,Pannexin-1 opening in neuronal edema causes cell death but also leads to protection via increased microglia contacts,"['Brian MacVicar', 'Snutch', 'Jeffrey LeDue']",,,,clinicalpositronemissiontomographyandpathologicalstudiesofdnajc13pn855sparkinsonism,"Clinical, positron emission tomography, and pathological studies of DNAJC13 p.N855S Parkinsonism","['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']","['A. Jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
2027functionalimagingofnigrostriataldopaminergicsystemwithpositronemissiontomographyinadultonsetdystoniaparkinsonismpark14duetopla2g6mutation,2.027 FUNCTIONAL IMAGING OF NIGROSTRIATAL DOPAMINERGIC SYSTEM WITH POSITRON EMISSION TOMOGRAPHY IN ADULT-ONSET DYSTONIA-PARKINSONISM (PARK14) DUE TO PLA2G6 MUTATION,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,essentialroleofsbp1activationinoxygendeprivationinducedlipidaccumulationandincreaseinbodywidthlengthratioincaenorhabditiselegans,Essential role of SBP-1 activation in oxygen deprivation induced lipid accumulation and increase in body width/length ratio in Caenorhabditis elegans,"['Yu Tian Wang', 'Rankin Catharine H']","['YuTian Wang', 'Catharine Rankin']"
newinsightsintolevodopainduceddopaminereleaseinparkinsonsdisease,New insights into levodopa induced dopamine release in Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']",,,,panx1ininflammationheatsupnewmechanisticinsightswithimplicationsforinjuryandinfection,PANX1 in inflammation heats up: New mechanistic insights with implications for injury and infection,"['Brian MacVicar', 'Leigh Anne Swayne']","['Brian A. MacVicar', 'Leigh Anne Swayne']"
relativepreservationofserotonergicfunctionincreasesresponsetotreatmentinearlypd,Relative Preservation of Serotonergic Function Increases Response to Treatment in Early PD,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,mesoscalebrainexploreraflexiblepythonbasedimageanalysisandvisualizationtool,"Mesoscale brain explorer, a flexible python-based image analysis and visualization tool","['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
jointmultimodalanalysisrevealedcomplementaryspatialpatternsofdopaminergicandserotonergicinteractionsrelatedtolevodoparesponseinparkinsonsdisease,Joint multimodal analysis revealed complementary spatial patterns of dopaminergic and serotonergic interactions related to levodopa response in Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,costeffectiveraspberrypibasedradiofrequencyidentificationtaggingofmicesuitableforautomatedinvivoimaging,Cost effective raspberry pi-based radio frequency identification tagging of mice suitable for automated in vivo imaging,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
whichitemsonthemontrealcognitiveassessmentmocainparkinsonsdiseasepredictprogressionfrommildcognitiveimpairmentmcitodementia,Which items on the Montreal Cognitive Assessment (MoCA) in Parkinson's disease predict progression from mild cognitive impairment (MCI) to dementia?,"['Martin J. McKeown', 'Silke Appel-Cresswell']",,,,quantifyingtheinternaldeformationoftherodentspinalcordduringacutespinalcordinjurythevalidationofamethod,Quantifying the internal deformation of the rodent spinal cord during acute spinal cord injury – the validation of a method,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
usingtheclosedheadimpactmodelofengineeredrotationalaccelerationtostudycooccurringtraumaticbrainandspinalcordinjury,Using the Closed-Head Impact Model of Engineered Rotational Acceleration to Study Co-occurring Traumatic Brain and Spinal Cord Injury,"['Peter Cripton', 'Wolfram Tetzlaff']",,,,morphologicalalterationsinthecaudateputamenpallidumandthalamusinparkinsonsdisease,"Morphological alterations in the caudate, putamen, pallidum, and thalamus in Parkinson's disease","['Martin J. McKeown', 'Silke Appel-Cresswell']","['Martin McKeown', 'Silke Appel-Cresswell']"
dopadecarboxylaseupregulationanddopaminetransporterdownregulationcompensateforstriataldopaminedeficiencyinpresymptomaticfamilialparkinsonsdisease,Dopa decarboxylase upregulation and dopamine transporter downregulation compensate for striatal dopamine deficiency in pre-symptomatic familial Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,connectivitybasedparcellationoffunctionalsubroisinputamenusingasparsespatiallyregularizedregressionmodel,Connectivity-based parcellation of functional SubROIs in putamen using a sparse spatially regularized regression model,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
impairedvisuallydependentlargescaleeeginformationflowsinparkinsonsdiseaseatrestp06070,"Impaired Visually-Dependent, Large-Scale EEG Information Flows in Parkinson's Disease at Rest (P06. 070)","['Martin J. McKeown', 'Z. Jane Wang']",,,,11cdtbzpetcorrelatesoflevodoparesponsesinasymmetricparkinsonsdisease,[<sup>11</sup>C]DTBZ-PET correlates of levodopa responses in asymmetric Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
quantificationofinflammationintheratbrainusing11cpbr28pet,Quantification of inflammation in the rat brain using [11C] PBR28 PET,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,contributionofcalciumdependentfacilitationtosynapticplasticityrevealedbymigrainemutationsinthepqtypecalciumchannel,Contribution of calcium-dependent facilitation to synaptic plasticity revealed by migraine mutations in the P/Q-type calcium channel,"['Brian MacVicar', 'Snutch']","['Brian A. MacVicar', 'Terrance P. Snutch']"
quantitativefluorescencelifetimeimaginguncoversanovelroleforkcc2chloridetransportindendriticmicrodomains,Quantitative fluorescence lifetime imaging uncovers a novel role for kcc2 chloride transport in dendritic microdomains,"['Brian MacVicar', 'Jeffrey LeDue']",,,,abayesianlassoviareversiblejumpmcmc,A Bayesian Lasso via reversible-jump MCMC,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
enhancementofspinebonesurfacesfromultrasounddatausingimprovedlocalphasetensorfilter,ENHANCEMENT OF SPINE BONE SURFACES FROM ULTRASOUND DATA USING IMPROVED LOCAL PHASE TENSOR FILTER,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']",,,,dnajc13mutationsinparkinsondisease,DNAJC13 mutations in Parkinson disease,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['A. Jon Stoessl', 'Silke Appel-Cresswell']"
triposeaweaklysupervised3dhumanposeestimationviatriangulationfromvideo,TriPose: A Weakly-Supervised 3D Human Pose Estimation via Triangulation from Video,"['Z. Jane Wang', 'Helge Rhodin']",,,,noniterativepartialview3dultrasoundtoctregistrationinultrasoundguidedcomputerassistedorthopedicsurgery,Non-iterative partial view 3D ultrasound to CT registration in ultrasound-guided computer-assisted orthopedic surgery,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
correlatingsubcorticalstructureandfunctioninidiopathicparkinsonsdiseaseacrosssectionalmorphometricand18fdopapetstudy,Correlating subcortical structure and function in idiopathic Parkinson's disease: A cross-sectional morphometric and [18F]-DOPA PET study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,longitudinalevolutionofcompensatorychangesinstriataldopamineprocessinginparkinsonsdisease,Longitudinal evolution of compensatory changes in striatal dopamine processing in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
smalleffectsizeleadstoreproducibilityfailureinrestingstatefmristudies,Small effect size leads to reproducibility failure in resting-state fMRI studies,"['Martin J. McKeown', 'Z. Jane Wang']",,,,thenatureofprogressioninparkinsonsdiseaseanapplicationofnonlinearmultivariatelongitudinalrandomeffectsmodelling,"The Nature of Progression in Parkinson's Disease: An Application of Non-Linear, Multivariate, Longitudinal Random Effects Modelling","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
forcedependentinterhemisphericconnectivityinparkinsonsdiseasepd,Force-dependent interhemispheric connectivity in Parkinson's disease (PD),"['Martin J. McKeown', 'Z. Jane Wang']",,,,pidoseanopensourcesystemforaccurateandautomatedoraldrugadministrationtogrouphousedmice,PiDose: an open-source system for accurate and automated oral drug administration to group-housed mice,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
differencesineffectiveconnectivitybetweentremorpredominantpdtandakineticrigidpdarvariantsofparkinsonsdiseasepd,Differences in effective connectivity between tremor-predominant (PDT) and akinetic-rigid (PDAR) variants of Parkinson's disease (PD),"['Martin J. McKeown', 'Z. Jane Wang']",,,,anovelporcinemodeloftraumaticthoracicspinalcordinjury,A Novel porcine model of traumatic thoracic spinal cord injury,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
leveragingthepowerof3dbrainwideimagingandmappingtoolsforbraininjuryresearchinmurinemodels,Leveraging the power of 3D brain-wide imaging and mapping tools for brain injury research in murine models,"['Tim H. Murphy', 'Peter Cripton', 'Mark S. Cembrowski', 'Jeffrey LeDue']",,,,individualizedfunctionaltargetingforrtmsapowerfulideawhosetimehascome,Individualized functional targeting for rTMS: A powerful idea whose time has come?,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
smallpvaluesmaynotyieldrobustfindingsanexampleusingrestmetapd,Small P values may not yield robust findings: an example using REST-meta-PD,"['Martin J. McKeown', 'Z. Jane Wang']",,,,ageneticallyinformedgroupfmriconnectivitymodelingapproachapplicationtoschizophrenia,"A genetically informed, group fMRI connectivity modeling approach: Application to schizophrenia","['Martin J. McKeown', 'Silke Appel-Cresswell']","['Martin McKeown', 'Z. Jane Wang', 'Silke Appel-Cresswell']"
activitydependentneuroprotectionintheacutephaseafterstroke,Activity dependent neuroprotection in the acute phase after stroke,"['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']",,,,serotonergicsystemimpactslevodoparesponseinearlyparkinsonsandfutureriskofdyskinesia,Serotonergic System Impacts Levodopa Response in Early Parkinson's and Future Risk of Dyskinesia,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
feasibilityofstatisticalmodelregistrationtoultrasoundforguidanceinscaphoidfracturefixation,FEASIBILITY OF STATISTICAL MODEL REGISTRATION TO ULTRASOUND FOR GUIDANCE IN SCAPHOID FRACTURE FIXATION,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']",,,,sitewithinnmethyldaspartatereceptorporemodulateschannelgating,Site within N-Methyl-D-aspartate Receptor Pore Modulates Channel Gating,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
11cpbb3petinpddoesalphasynucleinpathologystartinaxonalterminals,11C-PBB3 PET in PD: does alpha-synuclein pathology start in axonal terminals?,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,asymptoticanalysisofrobustlassosinthepresenceofnoisewithlargevariance,Asymptotic analysis of robust LASSOs in the presence of noise with large variance,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
impactofdifferentrealignmentalgorithmsonthespmanalysisofsup11craclopridepetstudies,Impact of different realignment algorithms on the SPM analysis of [/sup 11/C] raclopride PET studies,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,hippocampallongtermdepressionisrequiredfortheconsolidationofspatialmemory,Hippocampal long-term depression is required for the consolidation of spatial memory,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
decisionsunderriskinparkinsonsdiseaseevaluatingprobabilityandmagnitudeforgainandloss,Decisions under risk in Parkinson's disease: Evaluating probability and magnitude for gain and loss,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']",,,,functionalneuroimaginginparkinsonsdisease,Functional neuroimaging in Parkinson's disease,"['Silke Appel-Cresswell', 'Vesna Sossi']","['Silke Appel-Cresswell', 'Vesna Sossi']"
differingbiologicalsubstratesofmanualtrackingperformanceinparkinsonsdiseasesubtypes,Differing biological substrates of manual tracking performance in Parkinson's disease subtypes,"['Martin J. McKeown', 'Z. Jane Wang']",,,,θβbutnotαbandeegconnectivityhasimplicationsfordualtaskperformanceinparkinsonsdisease,"θ, β But not α-band EEG connectivity has implications for dual task performance in Parkinson's disease","['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
comparisonbetweenthebmaxkdplasmainputandtissueinputderivedestimatesofindtbzstudiesofparkinsons,Comparison between the Bmax/Kd Plasma Input and Tissue Input Derived Estimates of in DTBZ Studies of Parkinson's,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,waterreachingplatformforlongitudinalassessmentofcorticalactivityandfinemotorcoordinationdefectsinahuntingtondiseasemousemodel,Water-Reaching Platform for Longitudinal Assessment of Cortical Activity and Fine Motor Coordination Defects in a Huntington Disease Mouse Model,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
catecholamineresearchinthe21stcenturyinsightsintolrrk2mutationrelatedpdfrompetimagingstudies,Catecholamine Research in the 21st Century: Insights into LRRK2-Mutation Related PD from PET Imaging Studies,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,amultiblockplsmodelofcorticocorticalandcorticomuscularinteractionsinparkinsonsdisease,A multiblock PLS model of cortico-cortical and corticomuscular interactions in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
repetitiveclosedheadimpactmodelofengineeredrotationalaccelerationchimerainjuryinratsincreasesimpulsivitydecreasesdopaminergicinnervationintheolfactory,"Repetitive closed-head impact model of engineered rotational acceleration (CHIMERA) injury in rats increases impulsivity, decreases dopaminergic innervation in the olfactory …","['Peter Cripton', 'Catharine A. Winstanley']",,,,towardsavisualizabledeidentifiedsyntheticbiomarkerofhumanmovementdisorders,"Towards a Visualizable, De-identified Synthetic Biomarker of Human Movement Disorders","['Tim H. Murphy', 'Helge Rhodin']","['Timothy H. Murphy', 'Helge Rhodin']"
irrationalchoiceunderriskcorrelateswithlowerstriatald23receptorbindinginrats,Irrational Choice Under Risk Correlates with Lower Striatal D2/3 Receptor Binding in Rats,"['Catharine A. Winstanley', 'Vesna Sossi']",,,,combinationofolfactoryensheathingcellswithlocalversussystemiccamptreatmentafteracervicalrubrospinaltractinjury,Combination of olfactory ensheathing cells with local versus systemic cAMP treatment after a cervical rubrospinal tract injury,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
methodsformodulatingneuronalresponses,Methods for modulating neuronal responses,"['Anthony Phillips', 'Yu Tian Wang']",,,,dynamicbayesiannetworksdbnsdemonstrateimpairedbrainconnectivityduringperformanceofsimultaneousmovementsinparkinsonsdisease,Dynamic Bayesian Networks (DBNS) demonstrate impaired brain connectivity during performance of simultaneous movements in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
bayesiannetworkmodelingfordiscoveringdirectedsynergiesamongmusclesinreachingmovements,Bayesian Network Modeling For Discovering' Directed Synergies' Among Muscles in Reaching Movements,"['Martin J. McKeown', 'Z. Jane Wang']",,,,ethicalissuesinthemanagementofparkinsonsdisease,Ethical Issues In The Management Of Parkinson'S Disease,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['A. Jon Stoessl', 'Silke Appel-Cresswell']"
positionemissiontomographicstudiesoffamilyhagreekamericankindredwithautosomaldominantlevodoparesponsiveparkinsonismsecondarytoamutationofalphasynuclein,Position emission tomographic studies of family H: a Greek-American kindred with autosomal dominant levodopa responsive Parkinsonism secondary to a mutation of alpha-synuclein,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,incorporatingerrorratecontrolledpriorinmodellingbrainfunctionalconnectivity,Incorporating error-rate-controlled prior in modelling brain functional connectivity,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
heterogeneousseverityoflesionsinthestriatumofpatientswithparkinsonsdiseaseinvivopetstudiesusingdihydrotetrabenazinemethyphenidateandfdopa,"Heterogeneous severity of lesions in the striatum of patients with Parkinson's disease: In vivo PET studies using dihydrotetrabenazine, methyphenidate and F-DOPA","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,disruptionoftheendocyticproteinhip1resultsinneurologicaldeficitsanddecreasedampareceptortrafficking,Disruption of the endocytic protein HIP1 results in neurological deficits and decreased AMPA receptor trafficking,"['Yu Tian Wang', 'Lynn A Raymond']","['YuTian Wang', 'Lynn A. Raymond']"
thepresenceof3omethyl18ffluorodopa30mfdinfluencestheevaluationofthe18ffluorodopatissueinputuptakerateconstantinadiseasedependentwayastudyin,The presence of 3-O-methyl-[18F] fluoro-DOPA (30MFD) influences the evaluation of the 18F-fluorodopa tissue input uptake rate constant in a disease dependent way: a study in …,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,nrf2genedeletionfailstoalterpsychostimulantinducedbehaviororneurotoxicity,Nrf2 gene deletion fails to alter psychostimulant-induced behavior or neurotoxicity,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
amultivariateapproachfordenoisingoft2relaxationdecaycurvesinmyelinwaterfractionimaging,A Multivariate Approach for Denoising of T2 Relaxation Decay Curves in Myelin Water Fraction Imaging,"['Martin J. McKeown', 'Z. Jane Wang']",,,,roleofnr2btypenmdareceptorsinselectiveneurodegenerationinhuntingtondisease,Role of NR2B-type NMDA receptors in selective neurodegeneration in Huntington disease,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
brainpalmseqacuratedrnaseqdatabaseofpalmitoylatinganddepalmitoylatingenzymeexpressioninthemousebrain,BrainPalmSeq: A curated RNA-seq database of palmitoylating and de-palmitoylating enzyme expression in the mouse brain,"['Shernaz Bamji', 'Kurt Haas']",,,,gammafrequencyactivationofinhibitoryneuronsintheacutephaseafterstrokeattenuatesvascularandbehavioraldysfunction,Gamma frequency activation of inhibitory neurons in the acute phase after stroke attenuates vascular and behavioral dysfunction,"['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Brian A. MacVicar', 'Jeffrey M. LeDue']"
correlationbetweentheregulatorychangesofpresynapticpetmarkersandtheseverityofdopamineterminallossinthestriatumofparkinsonsdisease,Correlation between the regulatory changes of presynaptic PET markers and the severity of dopamine terminal loss in the striatum of Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,learningbrainconnectivitywiththefalsediscoveryratecontrolledpcalgorithm,Learning brain connectivity with the false-discovery-rate-controlled PC-algorithm,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
ôøåòùöôø,ÔØ Å ÒÙ× Ö ÔØ,"['Paul Pavlidis', 'Sophia Frangou', 'Vesna Sossi']",,,,homozygousalphasynucleinpa53vinfamilialparkinsonsdisease,Homozygous alpha-synuclein p.A53V in familial Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
catalogingthepotentialfunctionaldiversityofcacna1esplicevariantsusinglongreadsequencing,Cataloging the potential functional diversity of Cacna1e splice variants using long-read sequencing,"['Paul Pavlidis', 'Snutch']",,,,ascanwithoutevidenceisnotevidenceofabsencescanswithoutevidenceofdopaminergicdeficitinasymptomaticleucinerichrepeatkinase2mutationcarrier,A scan without evidence is not evidence of absence: Scans without evidence of dopaminergic deficit in a symptomatic leucine-rich repeat kinase 2 mutation carrier,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
effectofpopulationk2valuesingraphicalestimationofdvratiosofreversibleligands,Effect of population k2 values in graphical estimation of DV ratios of reversible ligands,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,phosphorylatedαsynucleininparkinsonsdiseasecorrelationdependsondiseaseseverity,Phosphorylated α-synuclein in Parkinson's disease: correlation depends on disease severity,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
alteredcorticoputaminaldticonnectivitypatternsinparkinsonsdiseaseandtheirassociationwithmotorimpairment,Altered cortico-putaminal DTI connectivity patterns in Parkinson's disease and their association with motor impairment,"['Martin J. McKeown', 'Silke Appel-Cresswell']",,,,biomechanicalaspectsofspinalcordinjury,Biomechanical Aspects of Spinal Cord Injury,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
invivovoltagesensitivedyeimaginginadultmicerevealsthatsomatosensorymapslosttostrokearereplacedoverweeksbynewstructuralandfunctionalcircuitswith,In vivo voltage-sensitive dye imaging in adult mice reveals that somatosensory maps lost to stroke are replaced over weeks by new structural and functional circuits with …,"['Tim H. Murphy', 'Craig E. Brown']",,,,targetedischemicstrokeinductionandmesoscopicimagingassessmentofbloodflowandischemicdepolarizationinawakemice,Targeted ischemic stroke induction and mesoscopic imaging assessment of blood flow and ischemic depolarization in awake mice,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
emergingneuroimagingtechnologiestowardsfuturepersonalizeddiagnosticsprognosistargetedinterventionandethicalchallenges,"Emerging neuroimaging technologies: Towards future personalized diagnostics, prognosis, targeted intervention and ethical challenges","['Todd S. Woodward', 'Vesna Sossi']",,,,alteredcorticalprocessingofsensoryinputinhuntingtondiseasemousemodels,Altered cortical processing of sensory input in Huntington disease mouse models,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
traditionalversuscomputerizedfingertappinginpatientswithparkinsonsdisease,Traditional Versus Computerized Finger Tapping in Patients with Parkinson’s Disease,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']",,,,robustgraftsurvivalandnormalizeddopaminergicinnervationdonotobligaterecoveryinaparkinsondiseasepatient,Robust graft survival and normalized dopaminergic innervation do not obligate recovery in a Parkinson disease patient,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
molecularimagingcorrelatesofsleepdysfunctioninparkinsonsdiseasepd,Molecular imaging correlates of sleep dysfunction in Parkinson's disease (PD),"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,disruptionofampareceptorendocytosisimpairstheextinctionbutnotacquisitionoflearnedfear,"Disruption of AMPA receptor endocytosis impairs the extinction, but not acquisition of learned fear","['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
highspeedradiographycanbeusedtomeasuredynamicspinalcorddeformationinaninvivorodentmodel,High Speed Radiography Can Be Used to Measure Dynamic Spinal Cord Deformation in an in vivo Rodent Model,"['Peter Cripton', 'Wolfram Tetzlaff']",,,,3dmorphautomaticanalysisofmicroglialmorphologyinthreedimensionsfromexvivoandinvivoimaging,3dmorph automatic analysis of microglial morphology in three dimensions from ex vivo and in vivo imaging,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
scholarmetricsscrapersmsautomatedretrievalofcitationandauthordata,Scholar Metrics Scraper (SMS): automated retrieval of citation and author data,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,greenfluorescentproteinemissionobscuresmetabolicfluorescentlifetimeimagingofnadph,Green fluorescent protein emission obscures metabolic fluorescent lifetime imaging of NAD(P)H,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
determiningthepathogenicityofavariantinmef2cinanindividualwithautismspectrumdisorderidentifiedthroughatargetedchildhoodepilepsypanel,Determining the Pathogenicity of a Variant in MEF2C in an Individual with Autism Spectrum Disorder Identified through a Targeted Childhood Epilepsy Panel,"['Shernaz Bamji', 'Kurt Haas']",,,,imagingofcompensatorymechanismsinparkinsonsdisease,Imaging of compensatory mechanisms in Parkinson's disease,"['Martin J. McKeown', 'Silke Appel-Cresswell']","['Martin McKeown', 'Silke Appel-Cresswell']"
corticalmorphologypredictsplaceboresponseinmultiplesclerosis,Cortical morphology predicts placebo response in multiple sclerosis,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,aquantitativeanalysisofcontextdependentremappingofmedialfrontalcortexneuronsandensembles,A quantitative analysis of context-dependent remapping of medial frontal cortex neurons and ensembles,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
alterationsindynamicbrainconnectivitypatternsinparkinsonsdisease,Alterations in Dynamic Brain Connectivity Patterns in Parkinson's Disease,"['Martin J. McKeown', 'Z. Jane Wang']",,,,constructingpreciselycomputingnetworkswithbiophysicalspikingneurons,Constructing precisely computing networks with biophysical spiking neurons,"['Adrienne Fairhall', 'Eric Shea-Brown']","['Adrienne L. Fairhall', 'Eric T. Shea-Brown']"
dopamineagonisttherapyaffectsuptakeoff186fluorodopaasmeasuredbypositronemissiontomography,Dopamine agonist therapy affects uptake of [F-18] 6-fluorodopa as measured by positron emission tomography,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,dnajc12anddoparesponsivenonprogressiveparkinsonism,DNAJC12 and dopa-responsive nonprogressive parkinsonism,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
p38mapkisinvolvedinenhancednmdareceptordependentexcitotoxicityinyactransgenicmousemodelofhuntingtondisease,P38 MAPK is involved in enhanced NMDA receptor-dependent excitotoxicity in YAC transgenic mouse model of Huntington disease,"['Yu Tian Wang', 'Lynn A Raymond']",,,,boneenhancementinultrasoundusinglocalspectrumvariationsforguidingpercutaneousscaphoidfracturefixationprocedures,Bone enhancement in ultrasound using local spectrum variations for guiding percutaneous scaphoid fracture fixation procedures,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
,,,,,,activationofneuronalnmdareceptorstriggerstransientatpmediatedmicroglialprocessoutgrowth,Activation of neuronal NMDA receptors triggers transient ATP-mediated microglial process outgrowth,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
,,,,,,dctn1pk56rinprogressivesupranuclearpalsy,DCTN1 p.K56R in progressive supranuclear palsy,"['Martin J. McKeown', 'Silke Appel-Cresswell']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell']"
