GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
abayesiannetworkapproachforpredictionoffuturedementiainparkinsonsdisease,A bayesian network approach for prediction of future dementia in Parkinson's disease,"['Martin J. McKeown', 'Silke Appel-Cresswell']",,,,noveldatadrivenequationfreemethodcapturesspatiotemporalpatternsofneurodegenerationinparkinsonsdiseaseapplicationofdynamicmodedecompositiontopet,"Novel data-driven, equation-free method captures spatio-temporal patterns of neurodegeneration in Parkinson's disease: Application of dynamic mode decomposition to PET","Novel data-driven, equation-free method captures spatio-temporal patterns of neurodegeneration in Parkinson's disease: Application of dynamic mode decomposition to PET","['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
hiddenmarkovmultivariateautoregressivehmmmarmodelingofdynamicmuscleassociationpatternsinreachingmovements,Hidden Markov multivariate autoregressive (HMM-mAR) modeling of dynamic muscle association patterns in reaching movements,"['Martin J. McKeown', 'Z. Jane Wang']",,,,ketamineanditsmetabolite2r6rhnkrestorehippocampalltpandlongtermspatialmemoryinthewistarkyotoratmodelofdepression,"Ketamine and its metabolite,(2R, 6R)-HNK, restore hippocampal LTP and long-term spatial memory in the Wistar-Kyoto rat model of depression","Ketamine and its metabolite, (2R,6R)-HNK, restore hippocampal LTP and long-term spatial memory in the Wistar-Kyoto rat model of depression","['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
screeningforcognitiveimpairmentwiththemontrealcognitiveassessmentinparkinsonsdiseasepatients,Screening for Cognitive Impairment with the Montreal Cognitive Assessment in Parkinson's Disease Patients,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']",,,,synapticdysfunctioninprogranulindeficientmice,Synaptic dysfunction in progranulin-deficient mice,Synaptic dysfunction in progranulin-deficient mice,"['Ian Mackenzie', 'Lynn A Raymond']","['Ian Mackenzie', 'Lynn A. Raymond']"
amultimodaldatafusionapproachefficientlypredictsdiseasedurationinmultiplesclerosis,A Multimodal data fusion approach efficiently predicts disease duration in multiple sclerosis,"['Martin J. McKeown', 'Z. Jane Wang']",,,,locallineardiscriminantanalysislldaforgroupandregionofinterestroibasedfmrianalysis,Local linear discriminant analysis (LLDA) for group and region of interest (ROI)-based fMRI analysis,Local Linear Discriminant Analysis (LLDA) for group and region of interest (ROI)-based fMRI analysis,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
invivochannelrhodopsin2stimulationandvoltagesensitivedyeimaginginamousemodelofstrokerevealspreservedfunctionalconnectionsposteriortothelesion,In Vivo Channelrhodopsin-2 Stimulation and Voltage-Sensitive Dye Imaging in a Mouse Model of Stroke Reveals Preserved Functional Connections Posterior to the Lesion,"['Tim H. Murphy', 'Jeffrey LeDue']",,,,autosomaldominantdystoniapluswithcerebralcalcifications,Autosomal dominant dystonia-plus with cerebral calcifications,Autosomal dominant dystonia-plus with cerebral calcifications,"['A Jon Stoessl OR jon Stoessl', 'Ian Mackenzie']","['A. Jon Stoessl', 'Ian Mackenzie']"
theapplicationofpetimagingtolrrk2rodentmodelsofpd,The application of PET imaging to LRRK2 rodent models of PD,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,progranulinpromotesactivationofmicrogliamacrophageafterpilocarpineinducedstatusepilepticus,Progranulin promotes activation of microglia/macrophage after pilocarpine-induced status epilepticus,Progranulin promotes activation of microglia/macrophage after pilocarpine-induced status epilepticus,"['Brian MacVicar', 'Yu Tian Wang']","['Brian A. MacVicar', 'YuTian Wang']"
theeffectsofsensoryrewardcuesonriskydecisionmakinginparkinsonsdisease,The effects of sensory reward cues on risky decision making in Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Catharine A. Winstanley', 'Silke Appel-Cresswell']",,,,hydroxynorketamineimplicationsforthenmdareceptorhypothesisofketaminesantidepressantaction,Hydroxynorketamine: implications for the NMDA receptor hypothesis of ketamine’s antidepressant action,Hydroxynorketamine: Implications for the NMDA Receptor Hypothesis of Ketamine’s Antidepressant Action,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
asingleboutofcyclingexerciseimprovesmoodandmotorfunctioninparkinsonsdisease,A single bout of cycling exercise improves mood and motor function in Parkinson's disease,"['Martin J. McKeown', 'Silke Appel-Cresswell']",,,,mitigationofaugmentedextrasynapticnmdarsignalingandapoptosisincorticostriatalcoculturesfromhuntingtonsdiseasemice,Mitigation of augmented extrasynaptic NMDAR signaling and apoptosis in cortico-striatal co-cultures from Huntington's disease mice,Mitigation of augmented extrasynaptic NMDAR signaling and apoptosis in cortico-striatal co-cultures from Huntington's disease mice,"['Yu Tian Wang', 'Lynn A Raymond']","['YuTian Wang', 'Lynn A. Raymond']"
s10203generationandcharacterizationofamousemodelofprogranulindeficiency,S1‐02‐03: Generation and characterization of a mouse model of progranulin deficiency,"['Ian Mackenzie', 'Lynn A Raymond']",,,,highspeedfluoroscopytomeasuredynamicspinalcorddeformationinaninvivoratmodel,High-Speed Fluoroscopy to Measure Dynamic Spinal Cord Deformation in an In Vivo Rat Model,High-Speed Fluoroscopy to Measure Dynamic Spinal Cord Deformation in an in Vivo Rat Model,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
riskpromotingeffectsofrewardpairedcuesinhumansignandgoaltrackers,Risk-Promoting Effects of Reward-Paired Cues in Human Sign-and Goal-Trackers,"['A Jon Stoessl OR jon Stoessl', 'Catharine A. Winstanley']",,,,asymptoticanalysisofthehuberizedlassoestimator,Asymptotic analysis of the Huberized LASSO estimator,Asymptotic analysis of the Huberized LASSO estimator,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
increasedneuroinflammationinasymptomaticlrrk2mutationcarriersapilotpetimagingstudyp4321,Increased Neuroinflammation in Asymptomatic LRRK2 Mutation Carriers: A Pilot PET Imaging Study (P4. 321),"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,exploringtheexpressionpatternsofpalmitoylatinganddepalmitoylatingenzymesinthemousebrainusingthecuratedrnaseqdatabasebrainpalmseq,Exploring the expression patterns of palmitoylating and de-palmitoylating enzymes in the mouse brain using the curated RNA-seq database BrainPalmSeq,Exploring the expression patterns of palmitoylating and de-palmitoylating enzymes in the mouse brain using the curated RNA-seq database BrainPalmSeq,"['Shernaz Bamji', 'Kurt Haas']","['Shernaz X. Bamji', 'Kurt Haas']"
braincommunicationsaincommunications,BRAIN COMMUNICATIONS AIN COMMUNICATIONS,"['Brian MacVicar', 'Snutch', 'Ian Mackenzie']",,,,aglobalcttousregistrationofthelumbarspine,A global CT to US registration of the lumbar spine,A global CT to US registration of the lumbar spine,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
comparisonofagerelatedchangesinthenormalstriatumbetweendopaminergicpettracersevidenceforthedownregulationofdopaminetransporterswithaging,Comparison of age-related changes in the normal striatum between dopaminergic PET tracers: evidence for the downregulation of dopamine transporters with aging,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,atridirectionalmethodforcorticomuscularcouplinganalysisinparkinsonsdisease,A tridirectional method for corticomuscular coupling analysis in Parkinson's disease,A tridirectional method for corticomuscular coupling analysis in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
amontecarloapproachforimprovingtransientdopaminereleasedetectionsensitivity,A Monte Carlo approach for improving transient dopamine release detection sensitivity,"['Catharine A. Winstanley', 'Vesna Sossi']",,,,highthroughputautomatedhomecagemesoscopicfunctionalimagingofmousecortex,High-throughput automated home-cage mesoscopic functional imaging of mouse cortex,High-throughput automated home-cage mesoscopic functional imaging of mouse cortex,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
neuralnetmodelinsightsintobasalgangliafunction,NEURAL-NET MODEL INSIGHTS INTO BASAL GANGLIA FUNCTION,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl']",,,,decreasedsubregionalspecificityoftheputameninparkinsonsdiseaserevealedbydynamicconnectivityderivedparcellation,Decreased subregional specificity of the putamen in Parkinson's Disease revealed by dynamic connectivity-derived parcellation,Decreased subregional specificity of the putamen in Parkinson's Disease revealed by dynamic connectivity-derived parcellation,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
thesafetyandfeasibilityofmediterraneanketogenicdietaryinterventionsonguthealthinparkinsonsdiseaseaprotocolforanopenlabelrandomizedcrossoverdesign,"The Safety and Feasibility of Mediterranean-Ketogenic Dietary Interventions on Gut Health in Parkinson’s Disease: A Protocol for an Open-label, Randomized, Crossover Design …","['Wolfram Tetzlaff', 'Silke Appel-Cresswell']",,,,pbb3bindinginapatientwithcorticobasalsyndrome,PBB3 binding in a patient with corticobasal syndrome.,PBB3 binding in a patient with corticobasal syndrome,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
pannexin1openinginneuronaledemacausescelldeathbutalsoleadstoprotectionviaincreasedmicrogliacontacts,Pannexin-1 opening in neuronal edema causes cell death but also leads to protection via increased microglia contacts,"['Brian MacVicar', 'Snutch', 'Jeffrey LeDue']",,,,postsynaptictrkcandpresynapticptpσfunctionasabidirectionalexcitatorysynapticorganizingcomplex,Postsynaptic TrkC and presynaptic PTPσ function as a bidirectional excitatory synaptic organizing complex,Postsynaptic TrkC and presynaptic PTPσ function as a bidirectional excitatory synaptic organizing complex,"['Tim H. Murphy', 'Yu Tian Wang']","['Timothy H. Murphy', 'YuTian Wang']"
2027functionalimagingofnigrostriataldopaminergicsystemwithpositronemissiontomographyinadultonsetdystoniaparkinsonismpark14duetopla2g6mutation,2.027 FUNCTIONAL IMAGING OF NIGROSTRIATAL DOPAMINERGIC SYSTEM WITH POSITRON EMISSION TOMOGRAPHY IN ADULT-ONSET DYSTONIA-PARKINSONISM (PARK14) DUE TO PLA2G6 MUTATION,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,localselfrenewalcansustaincnsmicrogliamaintenanceandfunctionthroughoutadultlife,Local self-renewal can sustain CNS microglia maintenance and function throughout adult life,Local self-renewal can sustain CNS microglia maintenance and function throughout adult life,"['Wolfram Tetzlaff', 'Fabio MV Rossi']","['Wolfram G. Tetzlaff', 'Fabio Rossi']"
newinsightsintolevodopainduceddopaminereleaseinparkinsonsdisease,New insights into levodopa induced dopamine release in Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']",,,,clinicalpositronemissiontomographyandpathologicalstudiesofdnajc13pn855sparkinsonism,"Clinical, positron emission tomography, and pathological studies of DNAJC13 p. N855S Parkinsonism","Clinical, positron emission tomography, and pathological studies of DNAJC13 p.N855S Parkinsonism","['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']","['A. Jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
relativepreservationofserotonergicfunctionincreasesresponsetotreatmentinearlypd,Relative Preservation of Serotonergic Function Increases Response to Treatment in Early PD,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,essentialroleofsbp1activationinoxygendeprivationinducedlipidaccumulationandincreaseinbodywidthlengthratioincaenorhabditiselegans,Essential role of SBP-1 activation in oxygen deprivation induced lipid accumulation and increase in body width/length ratio in Caenorhabditis elegans,Essential role of SBP-1 activation in oxygen deprivation induced lipid accumulation and increase in body width/length ratio in Caenorhabditis elegans,"['Yu Tian Wang', 'Rankin Catharine H']","['YuTian Wang', 'Catharine Rankin']"
jointmultimodalanalysisrevealedcomplementaryspatialpatternsofdopaminergicandserotonergicinteractionsrelatedtolevodoparesponseinparkinsonsdisease,Joint multimodal analysis revealed complementary spatial patterns of dopaminergic and serotonergic interactions related to levodopa response in Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,panx1ininflammationheatsupnewmechanisticinsightswithimplicationsforinjuryandinfection,PANX1 in inflammation heats up: New mechanistic insights with implications for injury and infection,PANX1 in inflammation heats up: New mechanistic insights with implications for injury and infection,"['Brian MacVicar', 'Leigh Anne Swayne']","['Brian A. MacVicar', 'Leigh Anne Swayne']"
whichitemsonthemontrealcognitiveassessmentmocainparkinsonsdiseasepredictprogressionfrommildcognitiveimpairmentmcitodementia,Which items on the Montreal Cognitive Assessment (MoCA) in Parkinson's disease predict progression from mild cognitive impairment (MCI) to dementia?,"['Martin J. McKeown', 'Silke Appel-Cresswell']",,,,mesoscalebrainexploreraflexiblepythonbasedimageanalysisandvisualizationtool,"Mesoscale brain explorer, a flexible python-based image analysis and visualization tool","Mesoscale brain explorer, a flexible python-based image analysis and visualization tool","['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
usingtheclosedheadimpactmodelofengineeredrotationalaccelerationtostudycooccurringtraumaticbrainandspinalcordinjury,Using the Closed-Head Impact Model of Engineered Rotational Acceleration to Study Co-occurring Traumatic Brain and Spinal Cord Injury,"['Peter Cripton', 'Wolfram Tetzlaff']",,,,costeffectiveraspberrypibasedradiofrequencyidentificationtaggingofmicesuitableforautomatedinvivoimaging,Cost effective raspberry pi-based radio frequency identification tagging of mice suitable for automated in vivo imaging,Cost effective raspberry pi-based radio frequency identification tagging of mice suitable for automated in vivo imaging,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
dopadecarboxylaseupregulationanddopaminetransporterdownregulationcompensateforstriataldopaminedeficiencyinpresymptomaticfamilialparkinsonsdisease,Dopa decarboxylase upregulation and dopamine transporter downregulation compensate for striatal dopamine deficiency in pre-symptomatic familial Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,quantifyingtheinternaldeformationoftherodentspinalcordduringacutespinalcordinjurythevalidationofamethod,Quantifying the internal deformation of the rodent spinal cord during acute spinal cord injury–the validation of a method,Quantifying the internal deformation of the rodent spinal cord during acute spinal cord injury – the validation of a method,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
impairedvisuallydependentlargescaleeeginformationflowsinparkinsonsdiseaseatrestp06070,"Impaired Visually-Dependent, Large-Scale EEG Information Flows in Parkinson's Disease at Rest (P06. 070)","['Martin J. McKeown', 'Z. Jane Wang']",,,,morphologicalalterationsinthecaudateputamenpallidumandthalamusinparkinsonsdisease,"Morphological alterations in the caudate, putamen, pallidum, and thalamus in Parkinson's disease","Morphological alterations in the caudate, putamen, pallidum, and thalamus in Parkinson's disease","['Martin J. McKeown', 'Silke Appel-Cresswell']","['Martin McKeown', 'Silke Appel-Cresswell']"
quantificationofinflammationintheratbrainusing11cpbr28pet,Quantification of inflammation in the rat brain using [11C] PBR28 PET,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,connectivitybasedparcellationoffunctionalsubroisinputamenusingasparsespatiallyregularizedregressionmodel,Connectivity-based parcellation of functional SubROIs in putamen using a sparse spatially regularized regression model,Connectivity-based parcellation of functional SubROIs in putamen using a sparse spatially regularized regression model,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
quantitativefluorescencelifetimeimaginguncoversanovelroleforkcc2chloridetransportindendriticmicrodomains,Quantitative fluorescence lifetime imaging uncovers a novel role for kcc2 chloride transport in dendritic microdomains,"['Brian MacVicar', 'Jeffrey LeDue']",,,,11cdtbzpetcorrelatesoflevodoparesponsesinasymmetricparkinsonsdisease,[11C] DTBZ‐PET correlates of levodopa responses in asymmetric Parkinson’s disease,[<sup>11</sup>C]DTBZ-PET correlates of levodopa responses in asymmetric Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
enhancementofspinebonesurfacesfromultrasounddatausingimprovedlocalphasetensorfilter,ENHANCEMENT OF SPINE BONE SURFACES FROM ULTRASOUND DATA USING IMPROVED LOCAL PHASE TENSOR FILTER,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']",,,,contributionofcalciumdependentfacilitationtosynapticplasticityrevealedbymigrainemutationsinthepqtypecalciumchannel,Contribution of calcium-dependent facilitation to synaptic plasticity revealed by migraine mutations in the P/Q-type calcium channel,Contribution of calcium-dependent facilitation to synaptic plasticity revealed by migraine mutations in the P/Q-type calcium channel,"['Brian MacVicar', 'Snutch']","['Brian A. MacVicar', 'Terrance P. Snutch']"
triposeaweaklysupervised3dhumanposeestimationviatriangulationfromvideo,TriPose: A Weakly-Supervised 3D Human Pose Estimation via Triangulation from Video,"['Z. Jane Wang', 'Helge Rhodin']",,,,abayesianlassoviareversiblejumpmcmc,A Bayesian Lasso via reversible-jump MCMC,A Bayesian Lasso via reversible-jump MCMC,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
correlatingsubcorticalstructureandfunctioninidiopathicparkinsonsdiseaseacrosssectionalmorphometricand18fdopapetstudy,Correlating subcortical structure and function in idiopathic Parkinson's disease: A cross-sectional morphometric and [18F]-DOPA PET study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,dnajc13mutationsinparkinsondisease,DNAJC13 mutations in Parkinson disease,DNAJC13 mutations in Parkinson disease,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['A. Jon Stoessl', 'Silke Appel-Cresswell']"
smalleffectsizeleadstoreproducibilityfailureinrestingstatefmristudies,Small effect size leads to reproducibility failure in resting-state fMRI studies,"['Martin J. McKeown', 'Z. Jane Wang']",,,,noniterativepartialview3dultrasoundtoctregistrationinultrasoundguidedcomputerassistedorthopedicsurgery,Non-iterative partial view 3D ultrasound to CT registration in ultrasound-guided computer-assisted orthopedic surgery,Non-iterative partial view 3D ultrasound to CT registration in ultrasound-guided computer-assisted orthopedic surgery,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
forcedependentinterhemisphericconnectivityinparkinsonsdiseasepd,Force-dependent interhemispheric connectivity in Parkinson's disease (PD),"['Martin J. McKeown', 'Z. Jane Wang']",,,,longitudinalevolutionofcompensatorychangesinstriataldopamineprocessinginparkinsonsdisease,Longitudinal evolution of compensatory changes in striatal dopamine processing in Parkinson's disease,Longitudinal evolution of compensatory changes in striatal dopamine processing in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
differencesineffectiveconnectivitybetweentremorpredominantpdtandakineticrigidpdarvariantsofparkinsonsdiseasepd,Differences in effective connectivity between tremor-predominant (PDT) and akinetic-rigid (PDAR) variants of Parkinson's disease (PD),"['Martin J. McKeown', 'Z. Jane Wang']",,,,thenatureofprogressioninparkinsonsdiseaseanapplicationofnonlinearmultivariatelongitudinalrandomeffectsmodelling,"The nature of progression in Parkinson’s disease: an application of non-linear, multivariate, longitudinal random effects modelling","The Nature of Progression in Parkinson's Disease: An Application of Non-Linear, Multivariate, Longitudinal Random Effects Modelling","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
leveragingthepowerof3dbrainwideimagingandmappingtoolsforbraininjuryresearchinmurinemodels,Leveraging the power of 3D brain-wide imaging and mapping tools for brain injury research in murine models,"['Tim H. Murphy', 'Peter Cripton', 'Mark S. Cembrowski', 'Jeffrey LeDue']",,,,pidoseanopensourcesystemforaccurateandautomatedoraldrugadministrationtogrouphousedmice,PiDose: an open-source system for accurate and automated oral drug administration to group-housed mice,PiDose: an open-source system for accurate and automated oral drug administration to group-housed mice,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
smallpvaluesmaynotyieldrobustfindingsanexampleusingrestmetapd,Small P values may not yield robust findings: an example using REST-meta-PD,"['Martin J. McKeown', 'Z. Jane Wang']",,,,anovelporcinemodeloftraumaticthoracicspinalcordinjury,A novel porcine model of traumatic thoracic spinal cord injury,A Novel porcine model of traumatic thoracic spinal cord injury,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
activitydependentneuroprotectionintheacutephaseafterstroke,Activity dependent neuroprotection in the acute phase after stroke,"['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']",,,,individualizedfunctionaltargetingforrtmsapowerfulideawhosetimehascome,Individualized functional targeting for rTMS: A powerful idea whose time has come?,Individualized functional targeting for rTMS: A powerful idea whose time has come?,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
feasibilityofstatisticalmodelregistrationtoultrasoundforguidanceinscaphoidfracturefixation,FEASIBILITY OF STATISTICAL MODEL REGISTRATION TO ULTRASOUND FOR GUIDANCE IN SCAPHOID FRACTURE FIXATION,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']",,,,ageneticallyinformedgroupfmriconnectivitymodelingapproachapplicationtoschizophrenia,"A genetically informed, group FMRI connectivity modeling approach: application to schizophrenia","A genetically informed, group fMRI connectivity modeling approach: Application to schizophrenia","['Martin J. McKeown', 'Silke Appel-Cresswell']","['Martin McKeown', 'Z. Jane Wang', 'Silke Appel-Cresswell']"
11cpbb3petinpddoesalphasynucleinpathologystartinaxonalterminals,11C-PBB3 PET in PD: does alpha-synuclein pathology start in axonal terminals?,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,serotonergicsystemimpactslevodoparesponseinearlyparkinsonsandfutureriskofdyskinesia,Serotonergic system impacts levodopa response in early Parkinson's and future risk of dyskinesia,Serotonergic System Impacts Levodopa Response in Early Parkinson's and Future Risk of Dyskinesia,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
impactofdifferentrealignmentalgorithmsonthespmanalysisofsup11craclopridepetstudies,Impact of different realignment algorithms on the SPM analysis of [/sup 11/C] raclopride PET studies,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,sitewithinnmethyldaspartatereceptorporemodulateschannelgating,Site within N-methyl-D-aspartate receptor pore modulates channel gating,Site within N-Methyl-D-aspartate Receptor Pore Modulates Channel Gating,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
decisionsunderriskinparkinsonsdiseaseevaluatingprobabilityandmagnitudeforgainandloss,Decisions under risk in Parkinson's disease: Evaluating probability and magnitude for gain and loss,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']",,,,asymptoticanalysisofrobustlassosinthepresenceofnoisewithlargevariance,Asymptotic analysis of robust LASSOs in the presence of noise with large variance,Asymptotic analysis of robust LASSOs in the presence of noise with large variance,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
differingbiologicalsubstratesofmanualtrackingperformanceinparkinsonsdiseasesubtypes,Differing biological substrates of manual tracking performance in Parkinson's disease subtypes,"['Martin J. McKeown', 'Z. Jane Wang']",,,,hippocampallongtermdepressionisrequiredfortheconsolidationofspatialmemory,Hippocampal long-term depression is required for the consolidation of spatial memory,Hippocampal long-term depression is required for the consolidation of spatial memory,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
comparisonbetweenthebmaxkdplasmainputandtissueinputderivedestimatesofindtbzstudiesofparkinsons,Comparison between the Bmax/Kd Plasma Input and Tissue Input Derived Estimates of in DTBZ Studies of Parkinson's,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,functionalneuroimaginginparkinsonsdisease,Functional neuroimaging in Parkinson's disease,Functional neuroimaging in Parkinson's disease,"['Silke Appel-Cresswell', 'Vesna Sossi']","['Silke Appel-Cresswell', 'Vesna Sossi']"
catecholamineresearchinthe21stcenturyinsightsintolrrk2mutationrelatedpdfrompetimagingstudies,Catecholamine Research in the 21st Century: Insights into LRRK2-Mutation Related PD from PET Imaging Studies,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,θβbutnotαbandeegconnectivityhasimplicationsfordualtaskperformanceinparkinsonsdisease,"θ, β But not α-band EEG connectivity has implications for dual task performance in Parkinson’s disease","θ, β But not α-band EEG connectivity has implications for dual task performance in Parkinson's disease","['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
repetitiveclosedheadimpactmodelofengineeredrotationalaccelerationchimerainjuryinratsincreasesimpulsivitydecreasesdopaminergicinnervationintheolfactory,"Repetitive closed-head impact model of engineered rotational acceleration (CHIMERA) injury in rats increases impulsivity, decreases dopaminergic innervation in the olfactory …","['Peter Cripton', 'Catharine A. Winstanley']",,,,waterreachingplatformforlongitudinalassessmentofcorticalactivityandfinemotorcoordinationdefectsinahuntingtondiseasemousemodel,Water-Reaching Platform for Longitudinal Assessment of Cortical Activity and Fine Motor Coordination Defects in a Huntington Disease Mouse Model,Water-Reaching Platform for Longitudinal Assessment of Cortical Activity and Fine Motor Coordination Defects in a Huntington Disease Mouse Model,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
irrationalchoiceunderriskcorrelateswithlowerstriatald23receptorbindinginrats,Irrational Choice Under Risk Correlates with Lower Striatal D2/3 Receptor Binding in Rats,"['Catharine A. Winstanley', 'Vesna Sossi']",,,,amultiblockplsmodelofcorticocorticalandcorticomuscularinteractionsinparkinsonsdisease,A multiblock PLS model of cortico-cortical and corticomuscular interactions in Parkinson's disease,A multiblock PLS model of cortico-cortical and corticomuscular interactions in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
methodsformodulatingneuronalresponses,Methods for modulating neuronal responses,"['Anthony Phillips', 'Yu Tian Wang']",,,,towardsavisualizabledeidentifiedsyntheticbiomarkerofhumanmovementdisorders,"Towards a Visualizable, De-identified Synthetic Biomarker of Human Movement Disorders","Towards a Visualizable, De-identified Synthetic Biomarker of Human Movement Disorders","['Tim H. Murphy', 'Helge Rhodin']","['Timothy H. Murphy', 'Helge Rhodin']"
positionemissiontomographicstudiesoffamilyhagreekamericankindredwithautosomaldominantlevodoparesponsiveparkinsonismsecondarytoamutationofalphasynuclein,Position emission tomographic studies of family H: a Greek-American kindred with autosomal dominant levodopa responsive Parkinsonism secondary to a mutation of alpha-synuclein,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']",,,,combinationofolfactoryensheathingcellswithlocalversussystemiccamptreatmentafteracervicalrubrospinaltractinjury,Combination of olfactory ensheathing cells with local versus systemic cAMP treatment after a cervical rubrospinal tract injury,Combination of olfactory ensheathing cells with local versus systemic cAMP treatment after a cervical rubrospinal tract injury,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
